experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170906	F04	1	1.289807645	1:50000	NA19098	NA19101	19101_19098	00081
20170906	F05	1	0.750152691	1:50000	NA19098	NA19101	19101_19098	00080
20170906	F06	1	2.245191681	1:50000	NA19098	NA19101	19101_19098	00079
20170906	F07	1	1.871382363	1:50000	NA19098	NA19101	19101_19098	00034
20170906	F08	1	1.462198763	1:50000	NA19098	NA19101	19101_19098	00035
20170906	F09	1	1.918929489	1:50000	NA19098	NA19101	19101_19098	00036
20170906	F10	1	2.282215638	1:50000	NA19098	NA19101	19101_19098	00084
20170906	F11	1	2.290390341	1:50000	NA19098	NA19101	19101_19098	00083
20170906	F12	1	0.442652395	1:50000	NA19098	NA19101	19101_19098	00082
20170906	G01	1	0.481581154	1:50000	NA19098	NA19101	19101_19098	00037
20170906	G02	1	1.869739346	1:50000	NA19098	NA19101	19101_19098	00038
20170906	G03	1	2.162995999	1:50000	NA19098	NA19101	19101_19098	00039
20170906	G04	1	0.461429675	1:50000	NA19098	NA19101	19101_19098	00087
20170906	G05	1	1.836797028	1:50000	NA19098	NA19101	19101_19098	00086
20170906	G06	1	1.935434258	1:50000	NA19098	NA19101	19101_19098	00085
20170906	G07	1	2.232570259	1:50000	NA19098	NA19101	19101_19098	00040
20170906	G08	1	2.177066519	1:50000	NA19098	NA19101	19101_19098	00041
20170906	G09	1	2.187824909	1:50000	NA19098	NA19101	19101_19098	00042
20170906	G10	2	0.622389944	1:50000	NA19098	NA19101	19101_19098	00090
20170906	G11	1	2.456342586	1:50000	NA19098	NA19101	19101_19098	00089
20170906	G12	1	2.191137484	1:50000	NA19098	NA19101	19101_19098	00088
20170906	H01	1	1.644308668	1:50000	NA19098	NA19101	19101_19098	00043
20170906	H02	1	0.833252499	1:50000	NA19098	NA19101	19101_19098	00044
20170906	H03	1	1.932208024	1:50000	NA19098	NA19101	19101_19098	00045
20170906	H04	1	2.366285281	1:50000	NA19098	NA19101	19101_19098	00093
20170906	H05	3	1.766459895	1:50000	NA19098	NA19101	19101_19098	00092
20170906	H06	2	2.030371026	1:50000	NA19098	NA19101	19101_19098	00091
20170906	H07	1	2.448547574	1:50000	NA19098	NA19101	19101_19098	00046
20170906	H08	2	2.08076346	1:50000	NA19098	NA19101	19101_19098	00047
20170906	H09	1	1.897002828	1:50000	NA19098	NA19101	19101_19098	00048
20170906	H10	1	2.117691659	1:50000	NA19098	NA19101	19101_19098	00096
